,,Y
1026,2232.509,1747.645
1027,2447.827,1749.105
1028,2937.5,1742.5
1029,2009.09,1750.792
1030,2469.2,1751.635
1031,1041.5,1747.5
1032,1737.421,1761.163
1033,1986.006,1756.708
1034,2024.322,1757.689
1035,2202.434,1762.607
1036,2426.655,1777.293
1037,919.636,1771.14
1038,2036.5,1770.445
1039,2719.718,1773.941
1040,1500.051,1765.321
1041,2235.98,1767.686
1042,1996.05,1764.266
1043,895.091,1762.47
1044,2460.792,1765.163
1045,2176.255,1775.319
1046,2696.181,1774.755
1047,1706.306,1776.243
1048,883.397,1767.466
1049,871.384,1777.347
1050,2009.541,1772.748
1051,901.76,1770.76
1052,1727.2,1773.071
1053,1542.721,1787.318
1054,2022.372,1776.07
1055,2213.936,1777.991
1056,2252.5,1768.5
1057,2493.823,1777.883
1058,1741.059,1777.824
1059,2002.85,1782.22
1060,2473.496,1782.167
1061,1471.985,1788.522
1062,2841.01,1782.242
1063,879.5,1773.5
1064,1499.707,1776.464
1065,2243.5,1773.5
1066,2246.918,1787.307
1067,2454.995,1785.705
1068,2852.757,1780.157
1069,2826.689,1785.736
1070,889.849,1782.417
1071,1483.45,1777.1
1072,906.5,1780.579
1073,1720.417,1781.375
1074,1525.932,1791.9
1075,2203.715,1787.618
1076,1259.86,1790.402
1077,1488.815,1784.722
1078,2811.565,1788.651
1079,1499.558,1788.865
1080,1512.071,1784.548
1081,1752.232,1794.149
1082,2686.075,1791.232
1083,1501.427,1795.651
1084,1718.11,1790.84
1085,2174.439,1812.705
1086,2797.5,1785.5
1087,904.591,1787.318
1088,2196.922,1804.249
1089,2800.367,1796.487
1090,1731.071,1793
1091,1740.786,1791.571
1092,2725.503,1805.657
1093,896.784,1798.287
1094,902.5,1791.5
1095,1288.254,1810.222
1096,2214.67,1801.091
1097,1726.7,1801.963
1098,2234.465,1803.43
1099,1259.808,1799.628
1100,2681.768,1810.593
1101,2791.529,1806.382
1102,2820.711,1805.258
1103,1239.414,1813.853
1104,2252.734,1821.977
1105,1497.167,1806.468
1106,2833.573,1811.447
1107,2700.051,1823.963
1108,1003.778,1816.629
1109,1498.281,1819.774
1110,1253.606,1811.194
1111,1278.019,1811.994
1112,2807.523,1819.496
1113,2223.647,1813.353
1114,1264.713,1816.815
1115,2786.939,1819.332
1116,2821.628,1824.064
1117,1265.766,1825.703
1118,2214.657,1833.983
1119,1030.386,1839.661
1120,1013.149,1833.725
1121,2788.289,1831.556
1122,1264.841,1834.921
1123,2333.991,1851.102
1124,1004.5,1830
1125,2831.372,1839.151
1126,2796.5,1832.5
1127,2811.5,1832.5
1128,1001.679,1837.372
1129,2801.5,1833.5
1130,2800.675,1848.191
1131,2814.326,1846.977
1132,2789.704,1842.398
1133,992.228,1852.248
1134,592.863,1848.02
1135,1021.9,1839.3
1136,1005.313,1848.767
1137,1018.971,1845.853
1138,624.01,1860.165
1139,1888.759,1858.446
1140,1018.628,1852.244
1141,2312.353,1870.204
1142,1633.486,1861.612
1143,1732.5,1855.5
1144,1016.197,1860.262
1145,595.081,1876.652
1146,1032.03,1874.399
1147,2010.5,1861.5
1148,1877.554,1870.313
1149,1852.156,1880.158
1150,1632.25,1866.833
1151,1618.019,1871.196
1152,1631.391,1873.13
1153,2764.241,1882.368
1154,1604.93,1887.472
1155,1641.546,1878.008
1156,1632.761,1891.095
1157,1889.182,1881.5
1158,2355.495,1889.572
1159,623.523,1891.504
1160,1654.79,1895.983
1161,2577.846,1890.646
1162,2746.68,1888.842
1163,2749.5,1877.5
1164,1868.714,1884.893
1165,1896.079,1899.06
1166,1158.264,1889.914
1167,2314.366,1894.789
1168,2332.278,1893.852
1169,1371.169,1891.796
1170,1617.076,1887.958
1171,2082.407,1899.178
1172,823.605,1891.029
1173,1422.497,1905.728
1174,1859.9,1894.017
1175,2548.653,1898.385
1176,2730.338,1898.686
1177,2107.723,1899.627
1178,1197.24,1906.401
1179,2297.935,1909.485
1180,805.453,1916.475
1181,1168.234,1900.372
1182,1871.7,1901.173
1183,1381.66,1902.613
1184,845.821,1910.915
1185,1403.75,1908.946
1186,815.042,1910
1187,825.941,1905.401
1188,1874.119,1910.946
1189,2762.361,1918.416
1190,1183.516,1906.563
1191,1626.991,1908.41
1192,1778.5,1902.5
1193,2361.606,1913.835
1194,1151.961,1919.576
1195,2119.268,1911.84
1196,2528.637,1916.475
