Area,vx,vy,vz,Group,Row,Order
133,-0.676494162843136,0.200579227545475,-0.708606817012387,6,11,11
133,-0.427941641097628,-0.126167815730507,0.894956777776704,6,11,12
133,-0.048577882229742,-0.99140402681869,0.121483517259583,6,11,15
133,-0.783149733953147,0.483383879459293,-0.391173259934775,7,13,17
133,0.36137462296699,0.685771480765546,0.631764084167576,7,14,5
133,0.721307548453123,-0.27800154142806,-0.634374151040353,12,24,3
133,-0.553579477618942,0.801006757106146,0.227898962326368,13,25,7
134,-0.166140366676437,-0.004702958833929,0.986090898821618,2,4,5
134,-0.636448085564653,0.214303107167292,-0.740950749132176,6,12,12
134,-0.836901184309278,-0.530395281074839,-0.13519339301634,7,13,14
134,-0.679227292261418,-0.639462017853859,0.360192466841677,9,18,6
134,0.199226828431501,0.070972068474833,-0.97737998563994,10,19,9
134,-0.682728443910661,0.170267397436665,-0.710556743156711,12,24,2
135,0.075632160502472,0.742868273852675,-0.665151489512634,2,4,11
135,0.348973892711161,0.936594111840497,0.03175990981928,3,6,7
135,0.525980473716176,0.669958253403616,0.523927933942908,4,7,9
135,-0.075850838156056,-0.044914379971218,-0.996107097064781,4,8,15
135,-0.782432976636597,0.615064299976872,0.097439950562153,12,24,9
136,0.649635790526262,-0.615610088746875,0.446091423701894,4,8,14
136,0.138552133530452,0.139448288978461,-0.980488389015974,11,21,3
136,-0.543640299312378,-0.63678921462045,0.546767520164301,12,24,7
137,-0.168499303012881,-0.609517105274058,-0.774659204594192,4,8,8
137,-0.412746239281557,-0.849202706594982,0.329386255133223,4,8,9
137,0.455826150098013,0.847344549042257,-0.272451346289935,6,11,18
137,-0.632194853167468,0.119463262265088,0.765544379247569,6,12,12
137,-0.653911882826363,0.5840805710711,0.480883703192091,6,12,21
137,-0.745994373880464,0.376398729517085,-0.549378185366528,7,13,22
138,-0.450704129351751,-0.576898854218783,-0.681214723700491,2,4,1
138,-0.504578024907931,-0.829247085629936,0.240312895522211,4,7,17
138,-0.768430176588416,-0.137901942030146,0.624898486230051,4,8,19
138,-0.167928741213733,-0.164658201531251,0.971950417738922,5,9,13
138,0.0866090922977,0.136663502587731,-0.986824174912543,7,13,15
138,-0.183276684081813,-0.518465151715434,-0.835226642013213,11,22,10
139,0.111737135217008,0.062307079747402,0.991782557028932,3,6,15
139,0.15941990423076,0.040297319354342,-0.986388067744085,5,9,7
139,-0.2938858835816,-0.496671999394276,-0.816668851156424,7,13,22
139,-0.443332881877265,-0.23252640883563,0.865671661220584,8,16,13
139,-0.006308055505921,0.12762916196209,0.991801898290475,9,17,2
139,0.028040652945706,-0.135145286999916,-0.990428933939275,9,17,7
140,0.360365469818594,-0.124218261169225,-0.924503408189779,3,5,12
140,-0.067408315766085,-0.571030667471698,0.818156522783023,4,8,12
140,0.228964003424832,-0.598559687348558,0.76765994152155,7,13,9
140,-0.71981701804167,-0.032247910777909,-0.693414401918548,12,23,11
141,0.966429607566214,-0.094637988200626,-0.238867044208176,6,11,18
141,0.068423863389769,-0.168579454368178,0.983310298168257,6,11,19
141,0.450224248728128,-0.221744092651508,0.864943745703356,8,15,11
141,-0.698199066589325,-0.696132820665208,-0.167084288329264,8,15,13
141,-0.11085874103237,0.135626487917644,0.984538366602258,8,16,20
141,0.731649400947344,0.600449220683111,0.322722616924253,10,19,7
141,0.989470482863336,-0.142505957242854,0.025302483919464,10,19,10
141,0.638005072538055,-0.018987147226719,-0.769798035627464,10,19,20
141,-0.052601409840727,0.930408504416684,0.362730074010796,10,20,6
141,0.305443228285266,-0.85377887736686,-0.421623128939647,11,21,12
141,0.566797030191759,-0.528634898089937,0.631891027857845,12,23,1
141,0.154308701485576,-0.048110286542686,-0.986850659914972,13,25,13
142,0.182020635111052,-0.192247029706872,-0.964318188132244,3,5,15
142,0.060663295373568,-0.083986373078304,-0.994618647387817,4,7,13
142,0.553115477878574,0.304741089320951,0.775368387678165,7,13,7
142,-0.480144805198523,-0.81255732982731,-0.330471711020451,8,16,14
142,0.171643186118911,0.032540869925046,0.984621606731982,11,21,8
142,-0.700945934863284,-0.654449888811016,0.283496277636736,11,22,11
142,-0.928321795915266,0.318568024868186,0.191658698629198,12,23,16
143,-0.405167550830025,-0.598466224423311,0.691142122850942,3,6,10
143,-0.021736649241368,-0.898880098947387,0.43765521337703,3,6,15
143,0.040881620109596,-0.057399666824753,-0.997513895334607,4,7,23
143,0.301649223997698,0.21709131654511,0.928374442745112,4,8,18
143,0.921874134706513,0.091519679565749,0.376526530288771,7,13,11
143,0.191038599578251,0.503804225283628,-0.842428368502358,11,22,8
143,-0.515981939362014,0.840931780437681,-0.163083962737377,11,22,20
144,0.587359372957961,0.024276227156934,0.808962070676651,3,6,16
144,-0.283903683254286,0.805972193732485,-0.519429996789457,4,7,23
144,-0.238219542417142,0.931891009675886,-0.273551815376587,6,11,24
144,-0.906265474115835,0.117594353508147,-0.406022731443205,6,12,11
144,-0.488548073457847,0.400858651117049,0.775005239817929,10,20,3
145,0.558006123288462,-0.009314496098364,0.829784554288048,2,4,10
145,0.740390116844475,-0.663381935810373,-0.108383034278927,5,9,16
145,-0.280228357882769,-0.311538649256276,0.907973423321356,5,9,18
145,-0.904091277738268,0.420953351285682,-0.073601885566474,7,13,5
145,0.0404076198138,-0.114900673937973,-0.992554814299736,7,13,15
145,0.471612476242934,0.270337650722491,0.839344522144425,8,16,3
